model,feature_set,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_macro_mean,f1_macro_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,recall_dead_mean,recall_dead_std,f1_dead_mean,f1_dead_std
random_forest,top_2_importance,0.5716129032258064,0.06761585809844592,0.5281658692185007,0.08342478975237609,0.5183041420559353,0.09358680555965836,0.5179192376251199,0.09468559583453469,0.5281658692185007,0.08342478975237609,0.3621212121212121,0.17489338218797668,0.36335625159154566,0.15538825283534313
random_forest,top_3_importance,0.5453763440860214,0.03584630801894992,0.5017703349282296,0.038540172376273614,0.49999377359817165,0.039815109984731346,0.5003884711779449,0.0400558444241084,0.5017703349282296,0.038540172376273614,0.34090909090909094,0.07329325225725954,0.3504197252023339,0.05796944811022864
logistic_regression,top_3_importance,0.49956989247311834,0.038897988793769954,0.4935964912280702,0.04996502850721129,0.4842023749428469,0.04258389495056412,0.4933393249337521,0.04696438832650196,0.4935964912280702,0.04996502850721129,0.4666666666666667,0.1127337893196259,0.39952608311229,0.0655427997652482
logistic_regression,all_features,0.4862365591397849,0.06944738345035298,0.4792424242424243,0.08440872099355594,0.46970073738857765,0.0745594824726818,0.4797399749373434,0.07857727197127097,0.4792424242424243,0.08440872099355594,0.44848484848484843,0.15617089365727427,0.3815887611749681,0.10362398259457674
random_forest,all_features,0.5066666666666666,0.053696302165301,0.45207336523125996,0.04613538482055523,0.44692518823485783,0.04748085386226361,0.4480863460211286,0.050963922782871915,0.45207336523125996,0.04613538482055523,0.2515151515151515,0.07145349165182786,0.2682934609250399,0.06050847511669905
logistic_regression,top_2_importance,0.3576344086021505,0.08641736870594607,0.3825438596491228,0.08759795289685228,0.34664392800195865,0.08466731822118825,0.37273431796961204,0.09309714248422848,0.3825438596491228,0.08759795289685228,0.4666666666666666,0.1803984977713602,0.3367370078401659,0.09489532263610552
