node,degree_centrality,weighted_degree,betweenness,pagerank,clustering,Name,isAlive
Dagmer,0.007751937984496124,23,0.0003121601612684368,0.0010056108091478317,0.05160931885416573,Dagmer,1
Aggar,0.006201550387596899,13,0.009592956374474966,0.0015060864523001622,0.0,Aggar,0
Gariss,0.0031007751937984496,8,0.0031007751937984496,0.0013349442352667048,0.0,Gariss,1
Gelmarr,0.0015503875968992248,3,0.0,0.0005291194503918285,0.0,Gelmarr,0
Gynir,0.0031007751937984496,7,8.18527613269777e-05,0.0006980569723451606,0.0,Gynir,0
Dancy,0.0015503875968992248,3,0.0,0.00038573916420797216,0.0,Dancy,1
Alebelly,0.006201550387596899,19,1.1058911824475886e-05,0.0007307701069834053,0.047754637690641165,Alebelly,0
Hayhead,0.0031007751937984496,9,0.0,0.0004608659105294915,0.06040117993933235,Hayhead,1
Amabel,0.0031007751937984496,10,0.0,0.0006224773571055177,0.050122501760286854,Amabel,1
Harra,0.0031007751937984496,7,0.0,0.0005140921436169187,0.050122501760286854,Harra,0
Chiswyck,0.020155038759689922,56,4.9671110375028425e-05,0.0013983256571907564,0.0498167401430235,Chiswyck,0
Rafford,0.020155038759689922,73,7.791543739055116e-05,0.0017247671506276914,0.06461645237881507,Rafford,0
Dobber,0.0015503875968992248,4,0.0,0.00032594899461101784,0.0,Dobber,0
Koss,0.0031007751937984496,8,0.0,0.00041502712714669085,0.09022737815925913,Koss,0
Praed,0.0015503875968992248,3,0.0,0.0003025112815619786,0.0,Praed,0
Weasel,0.006201550387596899,27,8.185276132697771e-06,0.0008513146610696211,0.08398050669473266,Weasel,1
Woth,0.007751937984496124,18,0.0,0.0006426862809093781,0.07715907096385806,Woth,0
Chayle,0.0031007751937984496,7,0.0,0.0004286029971227832,0.061345100839270965,Chayle,0
Vylarr,0.0031007751937984496,9,0.0,0.00043028890407002644,0.10425900508246327,Vylarr,1
Craster,0.023255813953488372,68,0.004696170337801482,0.0023849746778968647,0.021321279288469004,Craster,0
Cressen,0.013953488372093023,74,0.0006129543460753426,0.0021452155785447284,0.046253905441568044,Cressen,0
Cutjack,0.004651162790697674,10,0.006196735519283548,0.0014102944880899377,0.0,Cutjack,1
Kurz,0.0015503875968992248,4,0.0,0.0007201613422560128,0.0,Kurz,0
Tarber,0.0015503875968992248,3,0.0,0.0005981705422957248,0.0,Tarber,1
Pono,0.004651162790697674,11,0.0,0.0005199357184051388,0.07228469519067422,Pono,1
Dalbridge,0.004651162790697674,13,0.0,0.0005751537979771531,0.07460687990257539,Dalbridge,0
Ebben,0.006201550387596899,26,1.604956104450543e-06,0.0009334020387248318,0.07414050525149442,Ebben,0
Drennan,0.0031007751937984496,6,0.0,0.000523695343082322,0.03614457831325302,Drennan,0
Squint,0.004651162790697674,9,2.407434156675815e-06,0.0007007217033106522,0.028028342200387118,Squint,0
Murch,0.0015503875968992248,5,0.0,0.0009415176856866578,0.0,Murch,1
Hake,0.0015503875968992248,4,0.0,0.000323935835965828,0.0,Hake,0
Mebble,0.0015503875968992248,4,0.0,0.0003236298058109259,0.0,Mebble,1
